#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2022 02 01 16 50 340  7.6  9.8 99.00 99.00 99.00 999 1019.0 999.0  12.0 999.0 99.0 99.00 
2022 02 01 17 00 337  7.3  9.5 99.00 99.00 99.00 999 1019.0 999.0  12.0 999.0 99.0 99.00 
2022 02 01 17 10 343  5.9  8.1 99.00 99.00 99.00 999 1019.1 999.0  12.0 999.0 99.0 99.00 
2022 02 01 17 20 337  5.7  7.3 99.00 99.00 99.00 999 1019.2 999.0  12.0 999.0 99.0 99.00 
2022 02 01 17 30 345  5.4  7.8 99.00 99.00 99.00 999 1019.2 999.0  12.0 999.0 99.0 99.00 
2022 02 01 17 40  13  6.3  8.7  3.09 10.81  7.66 306 1019.1 999.0  12.0 999.0 99.0 99.00 
2022 02 01 17 50  15  7.4  9.0 99.00 99.00 99.00 999 1019.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 18 00   4  5.7  8.5 99.00 99.00 99.00 999 1019.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 18 10 358  4.6  6.3 99.00 99.00 99.00 999 1019.4 999.0  12.0 999.0 99.0 99.00 
2022 02 01 18 20  16  4.3  5.5 99.00 99.00 99.00 999 1019.5 999.0  12.0 999.0 99.0 99.00 
2022 02 01 18 30 351  4.9  6.9 99.00 99.00 99.00 999 1019.4 999.0  12.0 999.0 99.0 99.00 
2022 02 01 18 40 350  5.1  6.5  3.20  8.33  7.73 308 1019.5 999.0  12.0 999.0 99.0 99.00 
2022 02 01 18 50 336  5.1  7.0 99.00 99.00 99.00 999 1019.7 999.0  12.0 999.0 99.0 99.00 
2022 02 01 19 00 332  5.9  7.6 99.00 99.00 99.00 999 1019.5 999.0  12.0 999.0 99.0 99.00 
2022 02 01 19 10 332  6.7  8.4 99.00 99.00 99.00 999 1019.4 999.0  12.0 999.0 99.0 99.00 
2022 02 01 19 20 336  6.3  8.1 99.00 99.00 99.00 999 1019.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 19 30 334  6.2  8.3 99.00 99.00 99.00 999 1019.3 999.0  12.0 999.0 99.0 99.00 
2022 02 01 19 40 324  5.8  7.6  2.72 10.81  7.57 302 1019.1 999.0  12.0 999.0 99.0 99.00 
2022 02 01 19 50 322  6.0  8.0 99.00 99.00 99.00 999 1018.9 999.0  12.1 999.0 99.0 99.00 
2022 02 01 20 00 319  7.6  9.5 99.00 99.00 99.00 999 1018.7 999.0  12.0 999.0 99.0 99.00 
2022 02 01 20 10 325  7.3  9.0 99.00 99.00 99.00 999 1018.6 999.0  12.1 999.0 99.0 99.00 
2022 02 01 20 20 321  8.2 11.4 99.00 99.00 99.00 999 1018.5 999.0  12.1 999.0 99.0 99.00 
2022 02 01 20 30 317  8.7 10.8 99.00 99.00 99.00 999 1018.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 20 40 316 10.0 12.2  2.63 12.12  7.16 282 1018.1 999.0  12.1 999.0 99.0 99.00 
2022 02 01 20 50 322 10.9 13.4 99.00 99.00 99.00 999 1018.0 999.0  12.1 999.0 99.0 99.00 
2022 02 01 21 00 319 10.2 12.6 99.00 99.00 99.00 999 1018.2 999.0  12.1 999.0 99.0 99.00 
2022 02 01 21 10 322 10.2 12.4 99.00 99.00 99.00 999 1018.0 999.0  12.1 999.0 99.0 99.00 
2022 02 01 21 20 318  9.4 11.8 99.00 99.00 99.00 999 1017.9 999.0  12.1 999.0 99.0 99.00 
2022 02 01 21 30 319  8.6 11.1 99.00 99.00 99.00 999 1017.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 21 40 316  9.6 11.7  2.73 11.43  6.49 295 1017.7 999.0  12.1 999.0 99.0 99.00 
2022 02 01 21 50 306  8.5 10.7 99.00 99.00 99.00 999 1017.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 22 00 282  6.7  9.2 99.00 99.00 99.00 999 1017.8 999.0  12.1 999.0 99.0 99.00 
2022 02 01 22 10 321  9.6 13.5 99.00 99.00 99.00 999 1017.5 999.0  12.1 999.0 99.0 99.00 
2022 02 01 22 20 310  9.1 11.8 99.00 99.00 99.00 999 1017.5 999.0  12.1 999.0 99.0 99.00 
2022 02 01 22 30 320  7.6 10.1 99.00 99.00 99.00 999 1017.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 22 40 322  9.1 11.4  2.83 11.43  6.82 290 1017.4 999.0  12.1 999.0 99.0 99.00 
2022 02 01 22 50 317  9.3 12.2 99.00 99.00 99.00 999 1017.5 999.0  12.1 999.0 99.0 99.00 
